country,rank,region,score_1,score_2,score_3,score_4,score_5,score_6,stars,total_score,university,year
United States,1,North America,100,100,100,99.1,100,91.9,,100,麻省理工学院,2022
United States,2,North America,100,100,100,98.1,99.7,63.6,,98.4,斯坦福大学,2022
United States,3,North America,100,100,98.6,99.1,85.2,69.9,,97.9,哈佛大学,2022
United States,4,North America,97,82.8,100,99.9,100,88.2,,97,加州理工大学（Caltech),2022
United Kingdom,5,Europe,100,100,100,81.3,99.4,98.3,,96.7,牛津大学,2022
Switzerland,6,Europe,98.7,96.6,80.8,96.4,100,97.9,,95,苏黎世联邦理工大学（瑞士联邦理工学院）,2022
United Kingdom,7,Europe,100,100,100,69.2,100,97.4,,94.3,剑桥大学,2022
United Kingdom,8,Europe,98.5,99.8,99.9,68.6,100,100,,93.6,帝国理工学院,2022
United States,9,North America,99.4,91.3,94.4,86.3,67.1,82.6,,93.1,芝加哥大学,2022
United Kingdom,10,Europe,99.4,98.3,98.4,65.4,99.3,100,,92.9,伦敦大学学院,2022
Singapore,11,Asia,99.7,98.4,90.7,72.9,100,71.4,,91.5,新加坡国立大学,2022
United States,12,North America,99.9,99,68.6,100,71.6,65.6,,91,普林斯顿大学,2022
Singapore,13,Asia,89.8,89.8,91.5,89,100,67.6,,89.9,南洋理工大学,2022
Switzerland,14,Europe,80.4,80,96.3,98.5,100,100,,89.6,洛桑联邦理工学院（EPFL),2022
China (Mainland),15,Asia,98.2,98.6,93.3,83.2,55.3,30.7,,89.2,清华大学,2022
United States,16,North America,96.1,91.5,100,63.8,88.7,65.3,,88.6,宾夕法尼亚大学,2022
United States,16,North America,98.5,90.9,63.7,88.6,93.7,70,,87.6,康奈尔大学,2022
United States,18,North America,99.9,100,100,52.8,85.3,54.5,,88,耶鲁大学,2022
United States,19,North America,99.7,97.3,100,48.5,37.2,96.3,,86.5,哥伦比亚大学,2022
United Kingdom,20,Europe,98,95.4,83.1,50.2,98.2,99,,85.8,爱丁堡大学,2022
United States,21,North America,98.9,92.7,89.4,58,74.8,41.3,,84.6,密歇根大学,2022
Hong Kong SAR,22,Asia,98.1,76.3,83.8,48,100,98.9,,83.7,香港大学（HKU）,2022
China (Mainland),23,Asia,99.2,99.1,76.4,64.9,69.7,34.3,,83.5,北京大学,2022
Japan,24,Asia,100,99.6,92.3,62.5,10.7,26.1,,83.2,东京大学,2022
United States,25,North America,86.7,47,100,75.9,66.3,87.7,,82.7,约翰霍普金斯大学,2022
